image_path,label
./mnist_png/training/0/16585.png,0
./mnist_png/training/0/24537.png,0
./mnist_png/training/0/25629.png,0
./mnist_png/training/0/20751.png,0
./mnist_png/training/0/34730.png,0
./mnist_png/training/0/15926.png,0
./mnist_png/training/0/22152.png,0
./mnist_png/training/0/35348.png,0
./mnist_png/training/0/22634.png,0
./mnist_png/training/0/6819.png,0
./mnist_png/training/0/32427.png,0
./mnist_png/training/0/24245.png,0
./mnist_png/training/0/33739.png,0
./mnist_png/training/0/44599.png,0
./mnist_png/training/0/12907.png,0
./mnist_png/training/0/38644.png,0
./mnist_png/training/0/28457.png,0
./mnist_png/training/0/40099.png,0
./mnist_png/training/0/49903.png,0
./mnist_png/training/0/26308.png,0
./mnist_png/training/0/28325.png,0
./mnist_png/training/0/29985.png,0
./mnist_png/training/0/31112.png,0
./mnist_png/training/0/25167.png,0
./mnist_png/training/0/1179.png,0
./mnist_png/training/0/46371.png,0
./mnist_png/training/0/9257.png,0
./mnist_png/training/0/10645.png,0
./mnist_png/training/0/18219.png,0
./mnist_png/training/0/4773.png,0
./mnist_png/training/0/56176.png,0
./mnist_png/training/0/19649.png,0
./mnist_png/training/0/55457.png,0
./mnist_png/training/0/41350.png,0
./mnist_png/training/0/48412.png,0
./mnist_png/training/0/54985.png,0
./mnist_png/training/0/18543.png,0
./mnist_png/training/0/38693.png,0
./mnist_png/training/0/29211.png,0
./mnist_png/training/0/36331.png,0
./mnist_png/training/0/22344.png,0
./mnist_png/training/0/43976.png,0
./mnist_png/training/0/7911.png,0
./mnist_png/training/0/41807.png,0
./mnist_png/training/0/16787.png,0
./mnist_png/training/0/23728.png,0
./mnist_png/training/0/7905.png,0
./mnist_png/training/0/32625.png,0
./mnist_png/training/0/22436.png,0
./mnist_png/training/0/13833.png,0
./mnist_png/training/0/57917.png,0
./mnist_png/training/0/29205.png,0
./mnist_png/training/0/22378.png,0
./mnist_png/training/0/52847.png,0
./mnist_png/training/0/27200.png,0
./mnist_png/training/0/39758.png,0
./mnist_png/training/0/38446.png,0
./mnist_png/training/0/88.png,0
./mnist_png/training/0/55682.png,0
./mnist_png/training/0/9914.png,0
./mnist_png/training/0/31310.png,0
./mnist_png/training/0/5690.png,0
./mnist_png/training/0/41191.png,0
./mnist_png/training/0/31476.png,0
./mnist_png/training/0/46826.png,0
./mnist_png/training/0/35823.png,0
./mnist_png/training/0/4565.png,0
./mnist_png/training/0/48638.png,0
./mnist_png/training/0/4203.png,0
./mnist_png/training/0/14153.png,0
./mnist_png/training/0/34283.png,0
./mnist_png/training/0/9733.png,0
./mnist_png/training/0/6400.png,0
./mnist_png/training/0/63.png,0
./mnist_png/training/0/37946.png,0
./mnist_png/training/0/20584.png,0
./mnist_png/training/0/2100.png,0
./mnist_png/training/0/9055.png,0
./mnist_png/training/0/48604.png,0
./mnist_png/training/0/7050.png,0
./mnist_png/training/0/41620.png,0
./mnist_png/training/0/17466.png,0
./mnist_png/training/0/41634.png,0
./mnist_png/training/0/49268.png,0
./mnist_png/training/0/2882.png,0
./mnist_png/training/0/48176.png,0
./mnist_png/training/0/11003.png,0
./mnist_png/training/0/57730.png,0
./mnist_png/training/0/17314.png,0
./mnist_png/training/0/35994.png,0
./mnist_png/training/0/36537.png,0
./mnist_png/training/0/23884.png,0
./mnist_png/training/0/22224.png,0
./mnist_png/training/0/36251.png,0
./mnist_png/training/0/59696.png,0
./mnist_png/training/0/1596.png,0
./mnist_png/training/0/47480.png,0
./mnist_png/training/0/57693.png,0
./mnist_png/training/0/5096.png,0
./mnist_png/training/0/16817.png,0
./mnist_png/training/0/9874.png,0
./mnist_png/training/0/53387.png,0
